,Text,Polarity,Sentimen
0,kaesangp keren yang situ mirip sehun mas kaesang mirip siapa,0,0
1,abu_waras berarti paspampres kemarin salah langsung reaktif ketika desta nyolek perut mas kaesang karena ternya cowok tzdlxhzv,1,1
2,rt cerry sukses festival budaya dalam rangka tasyakuran pernikahan kaesang dan erina yang digelar pada hari minggu lalu semua masya,0,0
3,bikin kaget warganet kaesang pangarep sudah berani unggah konten sensitif di twitter cowok xhwjjd,1,1
4,rt florenciaalmnd pertunjukan tradisional ini akan menguatkan identitas ke indonesia an masyarakat solo dan sekitarnya sekaligus memperk,0,0
5,rt florenciaalmnd tidak hanya pesta rakyat masyarakat dan tamu undangan juga akan dihibur dengan kesenian tradisional seperti tari tarian,0,0
6,rt kompastv beginilah kesiapan panglima tni andika perkasa dan istri hetty andika perkasa sebelum menghadiri resepsi kaesang dan erina,1,1
7,rt florenciaalmnd sekedar informasi ada sebanyak makanan gratis siap dibagikan kepada warga sekitar sembilan panggung hiburan jug,1,1
8,rt florenciaalmnd pernikahan kak kaesang dan kak erina gudono sarat akan budaya jawa hal ini menunjukkan bahwa keluarga presiden joko wi,1,1
9,rt florenciaalmnd hal yang selalu floren perhatikan dan mengamati setiap kali bapak presiden jokowi menggelar pernikahan buat putra putri,0,0
10,rt riyadisugeng dengan konsep kekeluargaan bersama sama acara hajatan presiden jokowi ngunduh mantu dan tasyakuran kaesang erina,1,1
11,rt riyadisugeng erick thohir sebagai ketua panitia pernikahan kaesang erina dekat dengan kaesang yang sudah dianggap seperti kepona,0,0
12,kaesangp pasti mas kaesang enggak tahu tamunya,1,1
13,santorinissun salah itu kata nya bapak nya wali kota pak deh gibran walikota gibran kakak nya kahiyang jadi panggil cowok lqikvxgf,0,0
14,rt riyadisugeng menteri bumn erick thohir disambut meriah relawan jokowi ada belasan ribu relawan dari berbagai kota yang hadir untu,0,0
15,aku senang banget lihat komentar di akun mas kaesang berasa sama teman banget heran,1,1
16,rt jokowi menerima sheikh khalid bin mohamed bin zayed al nahyan dari persatuan emirat arab di masjid raya sheikh zayed solo sore tadi,1,1
17,prabowo tampak sempat salim dengan megawati lebih baik prabowo cowok kdnqcgx dekade,1,1
18,rt retnowonosari menurut menteri bumn erickthohir berpendapat kota solo jangan sampai kehilangan budayanya pernikahan kaesang erina,0,0
19,rt retnowonosari erick thohir itu membantu presiden jokowi sebagai orang pribadi bukan sebagai menteri beliau sudah seperti saudara dan me,0,0
20,rt florenciaalmnd bapak bapak doktoral yang terhormat sini baca utas floren iya semoga tercerahkan pak pernikahan kak kaesang dan,1,1
21,momen prabowo salim dengan megawati di tasyakuran kaesang lebih baik prabowo cowok kdnqcosp dekade,1,1
22,baju prabowo serupa dengan baju para menteri kabinet indonesi maju beskap hitam menjadi seragam para anak buah jok cowok invfmtof,0,0
23,hukum menelantarkan anak dalam islam baca cowok gsriplvs trend alhamdulillah kaesang pagiii senin cowok bzlupzvpz,1,1
24,pakai blangkon dan beskap hitam prabowo hadiri resepsi kaesang erina lebih baik prabowo cowok auokhzgys dekade,0,0
25,marquez__ itu surabaya amp keluarga besar ct amp keluarga mau ke tasyakuran kaesang rasanya hal ini enggak masalah karena rombong cowok hqgimvtez,0,0
26,rt txtdarishawol taekey debut di twitter kak kaesang shinee shinee key taemin cowok dpzuoxnx,1,1
27,menteri bumn erick thohir disambut meriah relawan jokowi ada belasan ribu relawan dari berbagai kota yang hadir cowok zftdhfukj,0,0
28,prabowo hadir seorang diri ia banyak tersenyum menyapa undangan yang telah hadir lebih baik prabowo cowok auokhzgys dekade,1,1
29,prabowo datang mengenakan beskap hitam ia juga mengenakan blangkon dan jarik cokelat lebih baik prabowo cowok auokhzgys dekade,0,0
30,rt mastrlimbad blocking kaesang from my timeline padahal enggak follow tapi twitnya muncul terus kontennya sejak habis nikah tentang sekusu,0,0
31,menteri pertahanan prabowo subianto hadir di pura mangkunegaran solo untuk menghadiri resepsi pernikahan kaesang cowok eibptmvw,1,1
32,tertidur di nikahan kaesang pangarep cucu jokowi auto diamankan wali kota medan cowok uuygpgmn,0,0
33,rt rezapahlevie jika yang buat melanggar aturan yang dia buat sendiri iya enggak masalah coba deh tanya kan pada cebong paling jawabnya,0,0
34,kaesang rajin nge tweet usai menikah ternyata begini respon dari erina gudono cowok rifgbnp,1,1
35,kaesang pangarep pakai kaos pemberian erina gudono gambar puan maharani bikin salah fokus cowok talojon,0,0
36,rating jelek hidangan nikah kaesang erina dibela warganet hidangan kaesangerina cowok hfvhluusnd,0,1
37,kaesangp lanjuutt terus keramasnya abang kaesang selagi indonesia lagi panas panas nya,0,0
38,dearossa kegblgnunfaedh dia ngejokes ke kaesang eh mbaknya yang kegocek,0,0
39,suhobumi kirim ke rumah kaesang,1,1
40,kaesangp mas kaesang keramas terus enggak mledos ta pori ndase,0,0
41,kocak kaesang pangarep pascaresmi jadi suami erina gudono lakukan ini sebelum terima buku nikah cowok twxln,0,0
42,kaesangp gara gara mas kaesang kramang peng,0,1
43,rt sulalahsaputri anies sebarkan undangan datangkan massa acara safari politik dengan iming iming akan dibayar my first beli kaesang,1,1
44,anies sebarkan undangan datangkan massa acara safari politik dengan iming iming akan dibayar my first beli kaesang cowok aofsdwqxtf,1,1
45,rt desikinanti_ jokowi terima kedatangan putra presiden emiret arab di solo nahyan jokowi kaesang jin hyung ios untilwemeetaga,1,1
46,siapapun tolong jauhi kaesang dari hpnya selama dua minggu jadi pengantin baru,0,0
47,kaesang lebih baik diam deh sebelum orang orang pada geli,0,0
48,kaesang pangarep melontarkan komentar lucu di twitter usai resmi menikah ini apa saja yang ia bagikan simak cuit cowok gmvurqqzx,0,0
49,cok kaesang onfire ngetwit terus iya,1,1
50,sindir ibunda yang asik bersama teman temannya saat pernikahannya kaesang reuni lebih penting cowok xecdbnfxt,0,0
51,rt rengulaaren rekomendasi blouse amp kemeja keramas kaesang bonbon rctiplusaaa lyodrainaaajapan,1,1
52,seperti menggambarkan isi hatinya cowok sahgmedca,0,1
53,ibu negara iriana joko widodo mencolek kaesang untuk lebih serius ketika presiden ri ke susilo bambang yudhoyono cowok mlqpccabwo,0,0
54,berbisiklara elina bagaimana pernikahan sama kaesang kemarin,1,1
55,intip keseruan raffi ahmad dan nagita slavina di pernikahan kaesang dan erina sejam ngantre salaman cowok hfkqibl,1,1
56,rt nusantara_one putra raja uea mbz yang hadiri pernikahan kaesang tidak sekalipun tanyakan risik dan bahar mungkin dia tahu bahwa mereka,0,0
57,rt jayclentzz maderyannn muka kaesang lagi serius,0,0
58,rt siregar_najeges jumlah penduduk ri itu konon lebih banyak perempuannya maka bila ingin jadi pemimpin ri rebutlah hati para wanitany,1,0
59,lelah pikirkan acara pernikahan kaesang pangarep sudak tidak sabar bulan madu bersama erina gudono cowok swfmmysn,1,1
60,bcaain tweetan mas kaesang lucu banget,1,1
61,prabowo hadir seorang diri ia banyak tersenyum menyapa undangan yang telah hadir lebih baik prabowo cowok oepipcydc dekade,1,1
62,rt detikcom kaesang pangarep dan erina sofia gudono langsung menerima ktp usai prosesi akad nikah kepala dinas dukcapil sleman susmiart,1,1
63,momen prabowo salim dengan megawati di tasyakuran kaesang lebih baik prabowo cowok jhbuisecsk dekade,1,1
64,prabowo tampak sempat salim dengan megawati lebih baik prabowo cowok jhbuirwec dekade,1,1
65,kaesangp capek scroll tweetnya kaesang,1,1
66,mudjib_trisatya kembali kehidupan kaesang pasti moncer kelas pengusaha muda,0,0
67,prabowo datang mengenakan beskap hitam ia juga mengenakan blangkon dan jarik cokelat lebih baik prabowo cowok oepipcydc dekade,0,0
68,kaesangp mas kaesang saya boleh join ke keluarga mbah jokowi gaaa,1,0
69,rt imazkyo salah fokus sama kaos yang di pakai pengantin baru mas kaesang cowok pnqmmlgm cowok pnqmmlgm cowok,0,0
70,kaesangp beberapa hari kedepan mas kaesang kalau di rumah pakai sarung terus,0,0
71,rt oposisicerdas persona sederhana jokowi dinilai hanya gimmick terbongkar di pernikahan kaesang cowok utoeotke,0,0
72,apa rasanya digendong seorang presiden tanya mas kaesangp jokowi kaesang cowok jrgbaxwow,1,1
73,andisinulingga wajah kaesang gelisah enggak keenakan itu,0,0
74,menteri pertahanan prabowo subianto dan presiden ke megawati soekarnoputri bertemu di acara tasyakuran pernikahan cowok bkyqcqcnz,1,1
75,kaesangp tumben belum update sama sekali lagi sibuk iya mas kaesang,0,0
76,rt alisyarief pengamanan solo diperketat jelang ngunduh mantu kaesang erina segawat apa cowok zsfqiarhv,1,1
77,gibran_tweet rizal ramli mungking cemburu melihat mas kaesang menikah dengan wanita cantik,0,0
78,rt subfans aremamerch kaesangp cowok ljwyggexo kaesang sudah pakai powernya buat memperbaiki sepnas power klub sampean mana,0,0
79,rt dwimeta lebih publik percaya dan puas kepada jokowi ganteng kaesang desember daddies cowok pjcnybtf,1,1
80,rt dwimeta siap berantas mafia tambang jokowi bakal turun gunung pak bas welcome tapi jakarta babah new zealand kaesang cowok,0,0
81,moshpito nphrona akiodad masihmagangnih ramlirizal misal enggak ada pengaman fasilitas negara itu di acara lamara cowok qybnpbaep,0,0
82,rt bangediii yang terlihat justru bagaimana protokoler tidak menghargai ibu mertuanya kaesang tapi para buzzerrp tolol bahkan soral sorai,0,0
83,kmbgtbys kalah ya wis tapi enggak papa hla kon piye reaksi ngamok nek berbenah kira evaluasi gen deretan pelatih cowok ranwrpqf,0,0
84,rt clara_asma tutuplah rapat keburukan dan aib orang lain tetapi tampakkanlah dengan jelas keburukan dan aibmu di dalam benakmu niscaya,0,1
85,seorang netizen bertanya ke kaesang perihal bisikan jokowi kepada erina gudono saat sungkeman acara ngunduh mantu cowok mfbzyfq,1,1
86,rt clara_asma bom bunuh diri bukan jihad apa yang dilakukan oleh teroris tidaklah akan membawa kepada level syuhada mati syahid kemati,0,1
87,pertunjukan tradisional ini akan menguatkan identitas ke indonesia an masyarakat solo dan sekitarnya sekaligus mem cowok spyldhgg,0,0
88,tidak hanya pesta rakyat masyarakat dan tamu undangan juga akan dihibur dengan kesenian tradisional seperti tari entar cowok ueipte,0,0
89,sekedar informasi ada sebanyak makanan gratis siap dibagikan kepada warga sekitar sembilan panggung hiburan cowok ahoiudsfkp,1,1
90,miduk aparat dan pansernya masih sibuk mengurusi pernikahan kaesang kali iya bagaimana kalau kita usulkan cowok qlcvpigd,0,0
91,pernikahan kak kaesang dan kak erina gudono sarat akan budaya jawa hal ini menunjukkan bahwa keluarga presiden jok cowok trdrqjujjw,1,1
92,hal yang selalu floren perhatikan dan mengamati setiap kali bapak presiden jokowi menggelar pernikahan buat putra cowok koxpdqrvlq,0,0
93,bapak bapak doktoral yang terhormat sini baca utas floren iya semoga tercerahkan pak pernikahan kak kaesang cowok wdxvqfe,1,1
94,rt firzahusainid menteri bumn erick thohir pernikahan kaesang erina yang kental dengan budaya jawa harus dijadikan momentum untuk meningka,0,0
95,juwetcantikk mas kaesang ws mbalekno remot mbak rarra,1,1
96,rt aestheticjiwa makanan anak kos murah meriah thread jin hyung bonbon argentina kroasia sanggup keramas siang,1,1
97,rt intipseleb mua bongkar sifat asli kaesang pangarep terhadap erina gudono di balik layar cowok hsjehq cowok uzcigmphuz,0,0
98,hudangaz obahmamah bospurwa jangan banyak banyak bicara kalau hati sakit resepsi dan opm hubungan nya apa harus di bata cowok vvezkqvrpf,0,0
99,makeup artist mua bennu sorumba menceritakan awal ketika dirinya dipercaya untuk merias wajah erina gudono saat cowok pbhsqmuzbh,1,1
100,siap menyusul kaesang dan erina bersamaku cowok ffiusekasw,1,0
101,mua bongkar sifat asli kaesang pangarep terhadap erina gudono di balik layar cowok hsjehq cowok uzcigmphuz,0,0
102,rt rifqida_ aremamerch kaesangp mas kaesang jauh hari sudah menggunakan powernya untuk memperbaiki sepnas mas sedangkan klub sampah,0,0
103,repost dari wamenparekraf ri yang juga waketum partai perindo bidang ekonomi digital amp kreatif ibu angela tano cowok qhcyme,0,0
104,rt k_frzl matchasihh__ kaesangp di atas presiden masih ada ibu iriana yang nikah mas kaesang yang jadi presiden pak joko widodo yang di,0,0
105,repost dari wamenparekraf ri yang juga waketum partai perindo bidang ekonomi digital amp kreatif ibu angela tano cowok wfoncoybi,0,0
106,repost dari wamenparekraf ri yang juga waketum partai perindo bidang ekonomi digital amp kreatif ibu angela tano cowok vkyglarqbf,0,0
107,rt sydneyxw masyarakat menyambut dengan antusias amp tertib mengikuti acara pernikannya kaesang amp erina seperti kata pak erickthohir dan,1,1
108,rt micyutgirl kaesangp didewasakan oleh twitnya kaesang,1,1
109,luhut klaim nikahan kaesang bantu perekonomian aktivis bayangkan pemilihan umum dipercepat gerakkan ekonomi lebih besar cowok vlgmuklw,1,1
110,rt kompastv special report resepsi pernikahan kaesang erina di pura mangkunegaran cowok hwjiqcfyn cowok mltkzip,1,1
111,dinidpl sbyfess jadi ingat kata mas kaesang kemarin cowok xkkerxgpj,0,0
112,penjelasan gibran mengapa kaesang hobi keramas usai nikahi erina bikin syok anak presiden kemproh cowok sjzrkxqlm,1,1
113,rt kitasemuawumbo kaesangp mas kaesang kayaknya greget banget sama ethes iya cowok xxgyiegvrw,1,1
114,repost dari wamenparekraf ri yang juga waketum partai perindo bidang ekonomi digital amp kreatif ibu angela tano cowok niyvulwr,0,0
115,moshpito nphrona akiodad masihmagangnih ramlirizal tapi kaesang bukan oejabat plis kecuali pak jokowi nik cowok nzhwgozep,0,0
116,askrlfess muka perpaduan mbak sayang sama mas bobi tapi kelakuannya keturunan dari mas kaesang,1,1
117,rt ganjarpranowo pernikahan mas kaesang dengan mbak erina jadi momen bahagia buat kita semua bisa juga jadi ajang silaturahmi dan sambun,0,0
118,prabowo tampak sempat salim dengan megawati lebih baik prabowo cowok npjgpnevdk dekade,1,1
119,saatrdhy tepatnya kaesang keramas,1,1
120,blueneo sangat menyebalkan ternyata ada pembenci yang ikut makan dihajatan pernikahan kaesang cowok bpuzlrpp,0,0
121,mencari sang pisang kok yang keluar gorengan pisang tanduk piye iki mas kaesang ternyata daerah ku belum ada sang sangat cowok remmvgy,0,0
122,erina gudono mengatakan ada banyak cerita di balik layar acara pernikahannya dengan kaesang pangarep cowok wibnup,0,0
123,rt skupb kaesangp erina mas aku mau ngundang teman ku yang puteri indonesia boleh enggak kaesang ya boleh toh sayang mikirnya yang date,1,0
124,sebintang mungkin maksud kaesang kaliyaa,1,0
125,viral terbru link mediafire nomor password pastinya seokjin thewhitelotus deprem ppkritt asahi earthquake cowok kuzxidoxxy,1,1
126,rt oriza_ rekomendasi rak dinding multi fungsi biar dinding kalian tidak monoton iya bestie cowok ehiydfpt cowok,0,0
127,kaesang itu dia kenapa macam hype sangat,0,0
128,kehadiran sri mulyani dan retno marsudi di pernikahan kaesang dan erina mencuri perhatian karena penampilannya memb cowok hpsnluby,0,0
129,mas kaesangp enggak ada niatan nikah lagi di lihat sudah mulai mendung dan enggak sepanas kemarin dan hari yang lalu kaesang keramas,0,0
130,gibran rakabuming mengungkapkan sempat bertemu megawati soekarnoputri di solo pertemuan itu sebelum megawati ke saja cowok lwixnlgl,0,1
131,cnnindonesia besok cara menjadi kaesang,1,1
132,momen prabowo salim dengan megawati di tasyakuran kaesang lebih baik prabowo cowok npjgpnevdk dekade,1,1
133,rt aaabbbbb__ kaesangp yang benar kamu kaesang cowok kludfcqyz,0,0
134,pakai blangkon dan beskap hitam prabowo hadiri resepsi kaesang erina lebih baik prabowo cowok xgyzmswui dekade,0,0
135,kaesang beber pesan jokowi ke erina saat sungkeman kamu yang sabar hadapi bocah satu itu cowok zxtsqrtoy,1,1
136,rt bospurwa miris ketika ada peristiwa pembantaikan warga secara biadab nkridilecehkanterorisopm cowok jlffbyiqmg,0,0
137,rt patriot mas aniesbaswedan hadiri pernikahan putra pak jokowi kaesang di solo jawa tengah waduh jadi pusat perhatian semua und,1,1
138,rt kaesangp erina cerita sama aku bapak bilang kamu yang sabar iya menghadapi kaesang bapak saja susah menahan sabar menghadapi bocah satu itu,0,0
139,tweet kaesang keramas terus,1,1
140,prabowo datang mengenakan beskap hitam ia juga mengenakan blangkon dan jarik cokelat lebih baik prabowo cowok xgyzmswui dekade,0,0
141,rt wagimandeep_ kemarin janji mau nyanyi di acara pernikahan kaesang dan erina benaran ternyata mas walisolo bisa bernyanyi ini boc,1,1
142,rt democrazymedia pernikahan kaesang dan derita rakyat cianjur cowok ordvmcct,0,0
143,rt sarameliaaa ibu ganjar gelar zikir dan doa bersama gelorakan persatuan untuk negeri xabiru kaesang papua bali argentina kroasia,1,1
144,ivaifan tempatocehan kaesangp jokowi dulu sempat trend pak jokowi misah gibran karo kaesang tukaran nek tweter,1,1
145,kaesangp bagaimana rasanya kak kaesang sudah menikah,1,1
146,rt ireneirwansyah ganjar dipercaya orang muda ganjar kaltim dapat melanjutkan pembangunan ikn jadi bisa rata ekonomi indonesia my first,0,0
147,yang nikah kaesang yang dihujat nadya,0,0
148,rt kayakuwek jogja_menyapa garenghallu benar kena serangan jantung pas ikut kirab kaesang,0,0
149,rt msnindonesia tasyakuran pernikahan kaesang erina usai pura mangkunegaran kembali dibuka untuk wisatawan cowok pmxtxjdaa,1,1
150,hukum meninggalkan shalat dengan sengaja baca cowok bwumknjr trend alhamdulillah kaesang nahyan ker cowok ivmbiadxo,1,1
151,rt rajajuliantoni foto terbaik selama kondangan kak kaesang juru bicara pernikahan yang punya cita jadi presiden di belakang ada yang meli,1,1
152,rt deimoslordseven kaesangp jadi ingat cuplikan fotonya mass kaesang yang ini cowok dnwnvxpo,0,0
153,rt kompastv luhut sebut pernikahan kaesang erina hidupkan ekonomi solo dan yogya dari po bus lokal hingga umkm cowok bercxfl,0,0
154,buat teman online yang sudah jadi istri dan lagi menjalani pernikahan jarak jauh meminta tolong isi kuesioner skripsi cowok irjig,0,0
155,rt azvinl kaesangp hari ini kaesang resmi diangkat presiden republik indonesia cowok pzcxwnft,1,1
156,akun___receh ini finalis putri indonesia bukan ada istri mas kaesang enggak saya juga dulu pernah jadi finalis cowok dcnlqxhj,0,0
157,kaesangp kak kaesang masuk ke partai politik kah,0,0
158,kalo sedih baca tweetnya kaesang saja bisa naikin mood wkwkw atau enggak menonton yt nya fadil jaidi,0,1
159,ganjar dipercaya orang muda ganjar kaltim dapat melanjutkan pembangunan ikn jadi bisa rata ekonomi indonesia my di cowok attzxvr,0,0
160,rt pramsada rifqida_ aremamerch kaesangp kaesang dan persis yang paling pertama menuntut klb sementara aremania masih merasa enggak be,0,0
161,kaesang ini tahu enggak sih kalau dia anak presiden kalau nanti dia jadi presiden terus lihat tweetnya bakal malu enggak ya cowok pxlxdcvu,0,0
162,kaesang kok bahkan dadi cringe tapi,1,1
163,kaesang pangarep pakai kaos pemberian erina gudono gambar puan maharani bikin salah fokus pop cowok ngmbdnfe,0,0
164,tanggung jawab bobby nasution usai nahyan pakai singlet di pernikahan kaesang cowok elwsnxg,0,0
165,vmzlr dumpysitee iya datang ke nikahan kaesang kemarin,0,0
166,rt cnnindonesia luhut nilai pernikahan kaesang erina gerakkan roda ekonomi cowok azrcfmvjn,1,1
167,rt ptbinamandiri mau jenjang karirmu bagus yuk intip tips di bawah ini thread kaesang keramas bali tipsandtricks hati,1,1
168,warganet ngamuk ngunduh mantu kaesang di solo seperti mau perang besar reaksi gibran disorot cowok qremkslro,1,1
169,ngape aku takde mandang bu rektor ugm di resepsi kaesang di jogja ye sian die kalau sampai tidak diundang deh banyak jasanye,0,0
170,bospurwa disaat yang sama anies baswedan dan istri datang ke nikahan kaesang sambil memohon photo bareng,0,0
171,rt geloraco luhut klaim nikahan kaesang bantu perekonomian aktivis bayangkan pemilihan umum dipercepat gerakkan ekonomi lebih besar,1,1
172,rt viooo_ rekomendasi cemilan kekinian pedas uenakk amp pengganjal lapar bintang harga terjangkau rasanya nagih ukuran varia,0,0
173,rt detikcom nadya arifta memberikan jawaban dalam usai dinyinyirin netizen soal pernikahan kaesang dan erina cowok pfvyxkiur,1,1
174,kaesangp rencana mau bulan madu kemana kak kaesang,1,1
175,enggak begini konsepna kalau begitu kalo sama mas kaesang cowok trnijwypi,1,1
176,kaesang sedang rajin keramas iya sedang aku anu tidak anu selalu keramas enggak keramas terasa enggak mandi,0,0
177,rt cintada pak ganjar pranowo dan menteri bumn erick thohir menilai masyarakat tertib ikuti acara pernikahan mas kaesang erina ban,1,1
178,mas kaesang kok sudah ada di sekolah saya saja sih mas cowok labpcpyhy cowok pdkjgeig,0,0
179,rt louis_catr perhiasan emas xuping only gelang anak cowok bxqxomkz gelang ibu cowok wnyehuor ayo langsung cowok mum,1,1
180,repost dari wamenparekraf ri yang juga waketum partai perindo bidang ekonomi digital amp kreatif ibu angela tanoe cowok cxalgokd,0,0
181,rt bantengkrw gila sampai penonton di kartu merah argentina kroasia big mouth malam cosplay liga indonesia sekte maroko lah,0,0
182,rt bryannuraini anies takut kpk bongkar keterlibatannya kasus korupsi formula papua argentina kroasia kaesang selasa remy sylado,0,0
183,kak cowok datang ke pernikahan nya mas kaesang enggak tertawa lihat saja enggak berani soalnya dijaga sih tertawa bercan cowok axscsrcn,1,1
184,makeup artist pernikahan erina gudono bennu sorumba membagikan beberapa momen saat merias erina pada salah satu cowok zpongrsp,0,0
185,rt yanti jek___ mengakak seleb twete nomor yang ku sukai setelah kaesang mood banget setiap baca twete mu stand komennya juga,1,1
186,rt inilahdotcom wakil ketua umum partai nasdem ahmad ali memastikan bahwa anies baswedan aniesbaswedan akan menghadiri pernikahan put,1,1
187,rt ngeracunindulu kemeja tartan flanel selamat hari selasa semangat selalu iya izin tag shopee fashion ootd gaya kuliah tertawa,1,1
188,kaesangp kok pak sih kan harus nya mbak mas kaesang wah wah wah enggak beres nih mase,0,1
189,kaesang kayak adeknya kakak ipar saya anjing,0,0
190,rt shopeeholicmom batik modern kaesang sanggup keramas bonbon passionate loyal hari nusantara south korea selasa lyodrainaaajapan,1,1
191,rt gamaudungu demikian kuatnya kharisma presiden jokowi mampu melumpuhkan virus covid sehingga beberapa saat jadi jinak tidak ada mantan presiden,0,0
192,faraharsono kaesangp pas nikahan nahyan nanti mas kaesang pakai singlet saja biar impas,0,0
193,rt oposisicerdas tidak datang ke nikahan kaesang erina rocky gerung akui punya acara lebih menarik di aceh cowok zpyczisq,0,0
194,rt hannyisnaini kembali ke laptop nahyan kaesang keramas papua rachel venya anak medan lyodra cowok pweldatlx,0,0
195,kaesangp bahagia wedding mas kaesang jangan lupa mas kalau habis keramas pakai hair dryer ben enggak masuk angin,0,0
196,cnnindonesia beres acara kaesang covid langsung bekerja lagi sesuai arahan kakak pembina,1,1
197,bamilouv tt nya mas kaesang,0,1
198,rt seeumorrow__ perlakuan terhadap aparat tni era jokowi saat jaga pernikahan kaesang hanya dikasih stadion buat tempat istirahat seme,0,0
199,tetap berusaha positive thinking ditengah bacain twitter kaesang,1,1
200,alltomakeup ssangchuya worksfess iya makanya kalo ada yang julid erina wajar punya privilege kaesang juga berprivileg cowok lagvqv,0,0
201,rt skskskskdjjj kemeja polos korea cowok ojfamul xabiru lyodrainaaajapan bali rachel vennya army seokjin rcti,0,0
202,kaesangp shampoo nya enggak habis habis mas kaesang,1,0
203,rt aeribase masnya mirip sehun woyy apa memang benaran sehun ke nikahannya mas kaesang cowok xwaqckjyve,0,0
204,kaesangp diganti dong namanya om kaesang begitu,1,1
205,repost dari wamenparekraf ri yang juga waketum partai perindo bidang ekonomi digital amp kreatif ibu angela tanoe cowok ueqnqqd,0,0
206,kaesangp parah kamu kaesang bahkan semangatin suami nya tertawa,0,0
207,jek_e keuangannews_id ini dia pernah bilang sendiri kok bapak sekarang sudah enggak punya uang banyakan uang kaesang karn cowok vwekphc,0,0
208,rt hiisyg__ kaesangp ibu iriana ke mas kaesang cowok fhvvlmqrh,1,1
209,dhilaz saya indak masalahkan speed pembuatan dokumennya bung yang aneh buat saya adalah kepala dukcapil sleman yang nyemp cowok bfyfeae,0,0
210,kaesangp sstt kaesang curahan hati soal malam pertama di sosmed cowok pozotydstq,0,0
211,ayo kaesang nikah lagi ayo di jogja biar kagak ujan ugm_fess,0,0
212,kaesangp pamer banget yang sudah punya istri selamat berbahagia mas kaesang amp mbak erina semoga samawa,1,1
213,mengira dia datang ke nikahan kaesang dapat souvenir anduk wkwkwk cowok rufsbkqz,0,0
214,kaesangp enggak jelas kamu kaesang,0,0
215,kumpulan tweet lucu kaesang bikin mengakak cowok yxwwsj,1,1
216,sehari kali keramas begini jawaban kaesang soal rencana punya anak cowok tmialoczo,0,0
217,memang sudah waktunya mute kaesang,1,1
218,cerita gibran soal usilnya kaesang habis akad menghilang tiba tiba sudah di rumah dinasnya tribun medan cowok bufuuywfb cerita,0,0
219,kaesangp kenapa habis nikah jadi lucu begini mas kaesang apa sudah siap join grub jokes bapak bapak,0,0
220,rt kumparan pemanggilan gibran dilakukan setelah sehari sebelumnya megawati menggandeng gibran saat menghadiri acara resepsi pernikahan,1,1
221,bagaimana toh mas walkot gibran_tweet cowok mbgluidg,1,1
222,kaesang pangarep alam jayya,1,1
223,rt jumatberkahcom hukum orang tua melarang anaknya menikah dalam islam baca cowok uvgzdec trend alhamdulillah kaesang nya,1,1
224,rt blackjack kmbgtbys wajar lah mas kaesang sudah coba pakai power nya saja enggak digubris sama pihak yang urus sepakbola iya pakai sindiran,0,0
225,reposted from mr hary_tanoe selamat menempuh hidup baru dari kami sekeluarga kaesang dan erina cowok pmxjrrisp,1,1
226,poldajateng_ kaesang pengare itu siapa ya min typo mau menulis pangeran kaesang iya,1,1
227,kaesangp mas kaesang setelah menikah liburan mas kaesang setelah menikah nge twt terus,1,1
228,prabowo tampak sempat salim dengan megawati cowok mknyx prabowo dekade mendingprabowo cowok pbrfwtvgj,1,1
229,review makanan di kondangan kaesang erina warganet tidak etis cowok cumpklo,0,0
230,bacain tweet kaesang bikin mengakak enggak sih apalagi huru hara yang ada di nikahannya,0,0
231,rt annisaaaa chanyeolnothin_ tanyarlfes kaesang be like mbak deloken tapi anakmu,1,1
232,meme nya banyakk banget juragan meme ini pasti masih kaesang cowok grvwqtolxw,1,1
233,kaesangp prinsip mas kaesang itu begini ya cowok ebbwohger,1,1
234,menteri pertahanan prabowo subianto dan presiden ke megawati soekarnoputri bertemu di acara tasyakuran pernikahan cowok yjbnih,1,1
235,kaesangp mas kaesang keren iya nikhan saja bisa ngundang pak presiden,1,1
236,gibran_tweet mas ndek wingi kaesang mantenan tratake pirang set,1,1
237,prabowo hadir seorang diri ia banyak tersenyum menyapa undangan yang telah hadir cowok jklhdmhup prabowo cowok oqjzvnicmr,0,1
238,prabowo datang mengenakan beskap hitam ia juga mengenakan blangkon dan jarik cokelat cowok jklhdmhup cowok fikjyqbagd,0,0
239,rt tgiantslayer hipohan kalau gue jadi kaesang marah banget sih hari pernikahan bahkan dijadikan ajang politik untuk menjatuhkan dan mencari el,0,0
240,suhaynb_ kaesang kali ah saya,0,0
241,rt dwimeta pesan jokowi mencintai kebudayaan adalah kewajiban bersama kaesang keramas genta kemenkeu cowok tpwwuras,1,1
242,aremamerch kaesangp sek dilakoni kaesang dinggo tragedi kanjuruhan wes akeh vot kongres luar biasa iku wes cowok jjgslfshl,0,0
243,recehtapisayng bisa saja kamu kaesang,0,0
244,rt hannyisnaini ganjar pranowo ungkap ada hal menarik pada pernikahan kaesang keramas nahyan kaesang biadab argentina kroasi,0,0
245,rt natasha_nia berantas mafia tambang jokowi bakal turun gunung argentina kroasia papua xabiru kaesang tulus utamakan rakyat http,0,0
